ARV_Drug,Interaction_Count
Boosted Darunavir,16
Boosted Atazanavir,13
Boosted Elvitegravir,8
Efavirenz,5
Etravirine,5
Fostemsavir,5
Tenofovir,4
"Methadone, Buprenorphine",4
Doravirine,3
Cabotegravir,3
Inhaled and Injected Corticosteroids,3
Hormonal Contraceptives,3
Tobacco and Smoking Cessation Products,3
Rifamycins and Other Antituberculosis Medications,3
"Gender -Affirming Hormones [a] [Coleman, et al. 2022; Cirrincione, et al. 2020; Irving and Lehault 2017]",3
ADHD Medications and Lithium,3
Rilpivirine,2
Maraviroc,2
Antidepressants,2
Benzodiazepines [a],2
Anticonvulsants [a],2
Mpox Treatments,2
Bictegravir,1
Raltegravir,1
Abacavir,1
Lenacapavir,1
Sleep Medications,1
Antipsychotics [a],1
Nonopioid Pain Medications,1
Opioid Analgesics and Tramadol,1
Erectile and Sexual Dysfunction Agents,1
Alpha- Adrenergic Antagonists for Benign Prostatic Hyperplasia,1
"Alcohol, Disulfiram, and Acamprosate [a]",1
Immunosuppressants [a],1
COVID -19 Therapeutics,1
