Table_Title,Page,ARV_Drug,Other_Drug,Interaction_Effect,Recommendations,Additional_Details
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Date of current publication | None_2: October 7, 2025"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Highlights of changes, | None_2: • Identifying Drug-Drug Interactions > Risks of Concomitant Drug Use section: Updated"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: additions, and updates in | None_2: discussion of potent inducers"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: the October 7, 2025 | None_2: discussion of potent inducers"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: the October 7, 2025 | None_2: • Drug-Drug Interactions by Antiviral Medication Class section: Updated information on"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: • Drug-Drug Interactions by Antiviral Medication Class section: Updated information on"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: lenacapavir (LEN) interactions to specify when used for HIV treatment (see Table 19A) and"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: when used for HIV prevention (see Table 19B)"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: • Drug-Drug Interactions by Common Medication Class section: Updated the following"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: tables with information on LEN interactions when used for HIV prevention:"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: ‒ Table 30: Inhaled and Injected Corticosteroids"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: ‒ Table 35: Anticonvulsants"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: ‒ Table 45: Rifamycins and Other Antituberculosis Medications"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: Clinicians who prescribe and manage antiretroviral therapy for the prevention and"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: edition | None_2: treatment of HIV"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Lead author | None_2: John J. Faragon, PharmD, BCPS, AAHIVP"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Writing group | None_2: Rona M. Vail, MD, AAHIVS; Sanjiv S. Shah, MD, MPH, AAHIVS; Steven M. Fine, MD, PhD;"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Writing group | None_2: Joseph P. McGowan, MD, FACP, FIDSA, AAHIVS; Samuel T. Merrick, MD, FIDSA; Asa E. Radix,"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Writing group | None_2: MD, MPH, PhD, FACP, AAHIVS; Jessica Rodrigues, MPH, MS; Christopher J. Hoffmann, MD,"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Writing group | None_2: MPH, MSc, FACP; Brianna L. Norton, DO, MPH; Charles J. Gonzalez, MD"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Author and writing group | None_1: There are no author or writing group conflict of interest disclosures. | None_2: There are no author or writing group conflict of interest disclosures."
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: conflict of interest | None_1: There are no author or writing group conflict of interest disclosures. | None_2: There are no author or writing group conflict of interest disclosures."
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: disclosures | None_1: There are no author or writing group conflict of interest disclosures. | None_2: There are no author or writing group conflict of interest disclosures."
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Date of original publication | None_2: April 25, 2019"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Committee | None_2: Medical Care Criteria Committee"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Developer and funder | None_2: New York State Department of Health AIDS Institute (NYSDOH AI)"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Development process | None_2: See Supplement: Guideline Development and Recommendation Ratings"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: Related NYSDOH AI | None_2: Guideline"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: resources | None_2: Guideline"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: resources | None_2: • Rapid ART Initiation"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: resources | None_2: Podcast"
Table 30: Inhaled and Injected Corticosteroids,1,Inhaled and Injected Corticosteroids,,,,"Updates, Authorship, and Related Resources: resources | None_2: • Viremic—Cases in HIV"
Untitled Table,4,Not Specified,,,,
Untitled Table,5,Not Specified,,,,
Untitled Table,6,Not Specified,,,,
Untitled Table,7,Not Specified,,,,
Untitled Table,8,Not Specified,,,,
"Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions, below, shows the influence of specific ARVs on liver",9,Mechanisms of Antiretroviral (ARV) Drug-Drug,,,,"None: For patients:
• Drug Interaction Checker
(WebMD)
• HIV Drug Guide
(Positively Aware)
• HIV Treatment:
Everything You Need to
Know
(The Body)"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Cited references are listed at bottom of table; also see prescribing information.,,Cited references are listed at bottom of table; also see prescribing information.,,
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Cited references are listed at bottom of table; also see prescribing information.,,Cited references are listed at bottom of table; also see prescribing information.,,None: CYP Substrate | None_1: CYP Inhibitor | None_2: CYP Inducer | None_3: UGT1A1 | None_4: Drug Transport Protein | None_5: Other
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Integrase Strand Inhibitors (INSTIs),,Integrase Strand Inhibitors (INSTIs),,None: CYP Substrate | None_1: CYP Inhibitor | None_2: CYP Inducer | None_3: UGT1A1 | None_4: Drug Transport Protein | None_5: Other
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Integrase Strand Inhibitors (INSTIs),,Integrase Strand Inhibitors (INSTIs),,"None: 3A4 (minor) | None_1: — | None_2: — | None_3: Substrate | None_4: Inhibitor of MATE1, OCT2 | None_5: Chelation"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Integrase Strand Inhibitors (INSTIs),,Integrase Strand Inhibitors (INSTIs),,"None: — | None_1: — | None_2: — | None_3: Substrate | None_4: P-gP substrate; OATP1
inhibitor | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Integrase Strand Inhibitors (INSTIs),,Integrase Strand Inhibitors (INSTIs),,"None: 3A4 (minor) | None_1: — | None_2: — | None_3: Substrate | None_4: P-gP substrate; Inhibitor
of MATE2, OCT2 | None_5: Chelation"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Integrase Strand Inhibitors (INSTIs),,Integrase Strand Inhibitors (INSTIs),,None: 3A4 | None_1: — | None_2: 2C9 | None_3: Substrate | None_4: — | None_5: Chelation
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Integrase Strand Inhibitors (INSTIs),,Integrase Strand Inhibitors (INSTIs),,None: — | None_1: — | None_2: — | None_3: Substrate | None_4: — | None_5: Chelation
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Pharmacokinetic Boosters,,Pharmacokinetic Boosters,,None: — | None_1: — | None_2: — | None_3: Substrate | None_4: — | None_5: Chelation
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Pharmacokinetic Boosters,,Pharmacokinetic Boosters,,"None: 3A4, 2D6 (minor) | None_1: 3A4, 2D6 (minor) | None_2: — | None_3: — | None_4: Inhibitor of P-gP, BCRP,
OATP, OCT, MATE1 | None_5: —"
Table 1: Mechanisms of Antiretroviral (ARV) Drug-Drug Interactions,10,Pharmacokinetic Boosters,,Pharmacokinetic Boosters,,"None: 3A4, 2D6 (minor) | None_1: 3A4, 2C8, 2C9, 2C19, 2D6 | None_2: 1A2, 2B6, 2C9, 2C19 | None_3: Inducer | None_4: Inhibitor of P-gP, BCRP,
OATP, OCT, MATE1 | None_5: —"
