drug_abbreviation,page,context
LEN,1,"Drug- Drug Interactions by Antiviral Medication Class section: Updated information on 
lenacapavir (LEN) interactions to specify when used for HIV treatment (see Table 19A) and 
when used for HIV prev"
LEN,1,"Drug- Drug Interactions by Antiviral Medication Class section: Updated information on 
lenacapavir (LEN) interactions to specify when used for HIV treatment (see Table 19A) and 
when used for HIV prev"
ATV,2,".................................................................. 15 
Table 3: Boosted Atazanavir (ATV) Interactions  ................................................................................."
DRV,2,"................................................................... 15 
Table 4: Boosted Darunavir (DRV) Interactions  ................................................................................."
BIC,2,"......................................................................... 30 
Table 5: Bictegravir (BIC) Interactions  ................................................................................."
CAB,2,"........................................................................ 30 
Table 6: Cabotegravir (CAB) Interactions  ................................................................................."
DTG,2,"........................................................................ 31 
Table 7: Dolutegravir (DTG) Interactions  ................................................................................."
EVG,2,"................................................................ 32 
Table 8: Boosted Elvitegravir (EVG) Interactions  ................................................................................."
RAL,2,"......................................................................... 33 
Table 9: Raltegravir (RAL) Interactions  ................................................................................."
DOR,2,"......................................................................... 39 
Table 10: Doravirine (DOR) Interactions  ................................................................................."
RPV,2,"........................................................................ 39 
Table 11: Rilpivirine (RPV) Interactions  ................................................................................."
EFV,2,".......................................................................... 40 
Table 12: Efavirenz (EFV) Interactions  ................................................................................."
ETR,2,"......................................................................... 42 
Table 13: Etravirine (ETR) Interactions  ................................................................................."
ABC,2,"........................................................................... 49 
Table 14: Abacavir (ABC) Interactions  ................................................................................."
TDF,2,"...................................................... 49 
Table 15: Tenofovir Disoproxil Fumarate (TDF) and Tenofovir Alafenamide (TAF) Interactions  ................................. 49 
T
able 16:"
TAF,2,"...................... 49 
Table 15: Tenofovir Disoproxil Fumarate (TDF) and Tenofovir Alafenamide (TAF) Interactions  ................................. 49 
T
able 16: Lamivudine (3TC) and Emtricitabi"
FTC,2,"Interactions  ................................. 49 
T
able 16: Lamivudine (3TC) and Emtricitabine (FTC) Interactions  ............................................................................... 5"
FTR,2,"........................................................................ 51 
Table 17: Fostemsavir (FTR) Interactions  ................................................................................."
MVC,2,".......................................................................... 51 
Table 18: Maraviroc (MVC) Interactions  ................................................................................."
LEN,2,"....................................................................... 53 
Table 19A: Lenacapavir (LEN) Interactions When Used for HIV Treatment  ....................................................."
LEN,2,"....................................................................... 53 
Table 19A: Lenacapavir (LEN) Interactions When Used for HIV Treatment  ....................................................."
TDF,9,"ons  
organ systems [Gallant, et al. 2018; Dharan and Cooper 2017] . Tenofovir disoproxil fumarate (TDF) has been shown to reduce 
bone mineral density and may impair renal function. Tenofovir alafena"
TAF,9,"as been shown to reduce 
bone mineral density and may impair renal function. Tenofovir alafenamide (TAF) does not appear to have a similar effect on 
bone density or kidney function, and increased bon"
TDF,9,"ons  
organ systems [Gallant, et al. 2018; Dharan and Cooper 2017] . Tenofovir disoproxil fumarate (TDF) has been shown to reduce 
bone mineral density and may impair renal function. Tenofovir alafena"
TAF,9,"as been shown to reduce 
bone mineral density and may impair renal function. Tenofovir alafenamide (TAF) does not appear to have a similar effect on 
bone density or kidney function, and increased bon"
BIC,10,"hibitor  CYP Inducer  UGT1A1  Drug Transport Protein Other  
Integrase Strand Inhibitors (INSTIs)  
BIC [1] 3A4 (minor) — — Substrate  Inhibitor of MATE1, OCT2  Chelation  
CAB [2]  — — — Substrate  P"
CAB,10,"rand Inhibitors (INSTIs)  
BIC [1] 3A4 (minor) — — Substrate  Inhibitor of MATE1, OCT2  Chelation  
CAB [2]  — — — Substrate  P-gP substrate; OATP1 
inhibitor  — 
DTG [3] 3A4 (minor) — — Substrate  P-"
DTG,10,"nhibitor of MATE1, OCT2  Chelation  
CAB [2]  — — — Substrate  P-gP substrate; OATP1 
inhibitor  — 
DTG [3] 3A4 (minor) — — Substrate  P-gP substrate; Inhibitor 
of MATE2, OCT2  Chelation  
EVG [4] 3A"
EVG,10,"bitor  — 
DTG [3] 3A4 (minor) — — Substrate  P-gP substrate; Inhibitor 
of MATE2, OCT2  Chelation  
EVG [4] 3A4 — 2C9 Substrate  — Chelation  
RAL [5] — — — Substrate  — Chelation  
Pharmacokinetic Bo"
RAL,10,"P-gP substrate; Inhibitor 
of MATE2, OCT2  Chelation  
EVG [4] 3A4 — 2C9 Substrate  — Chelation  
RAL [5] — — — Substrate  — Chelation  
Pharmacokinetic Boosters 
COBI  [6] 3A4,  2D6 (minor) 3A4,  2"
COBI,10,"3A4 — 2C9 Substrate  — Chelation  
RAL [5] — — — Substrate  — Chelation  
Pharmacokinetic Boosters 
COBI  [6] 3A4,  2D6 (minor) 3A4,  2D6 (minor) — — Inhibitor of P- gP, BCRP, 
OATP, OCT, MATE1  — 
RT"
RTV,10,"COBI  [6] 3A4,  2D6 (minor) 3A4,  2D6 (minor) — — Inhibitor of P- gP, BCRP, 
OATP, OCT, MATE1  — 
RTV [7] 3A4,  2D6 (minor) 3A4, 2C8, 2C9, 2C19, 2D6  1A2, 2B6, 2C9, 2C19  Inducer  Inhibitor of P-gP,"
ATV,10,"2B6, 2C9, 2C19  Inducer  Inhibitor of P-gP, BCRP, 
OATP, OCT, MATE1  — 
Protease Inhibitors (PIs) 
ATV [8] 3A4 3A4, 2C8 (minor)  — Inhibitor  P-gP substrate, inhibitor, 
inducer; OATP inhibitor  GI a"
DRV,10,"— Inhibitor  P-gP substrate, inhibitor, 
inducer; OATP inhibitor  GI absorption (pH -
dependent)  
DRV [9] 3A4 3A4 2C9 — P-gP substrate; OATP 
inhibitor  — 
Non- Nucleoside Reverse Transcriptase Inhi"
DOR,10,"9 — P-gP substrate; OATP 
inhibitor  — 
Non- Nucleoside Reverse Transcriptase Inhibitors (NNRTIs)  
DOR [10]  3A4, 3A5  — — — — — 
EFV [11]  2B6 (primary), 2A6, 3A4  3A4 3A4, 2B6  — — — 
ETR [12]  3A4"
EFV,10,"itor  — 
Non- Nucleoside Reverse Transcriptase Inhibitors (NNRTIs)  
DOR [10]  3A4, 3A5  — — — — — 
EFV [11]  2B6 (primary), 2A6, 3A4  3A4 3A4, 2B6  — — — 
ETR [12]  3A4, 2C9, 2C19  2C9, 2C19  3A4 — P"
ETR,10,"s (NNRTIs)  
DOR [10]  3A4, 3A5  — — — — — 
EFV [11]  2B6 (primary), 2A6, 3A4  3A4 3A4, 2B6  — — — 
ETR [12]  3A4, 2C9, 2C19  2C9, 2C19  3A4 — P-gP inducer  — 
RPV [13]  3A4 — — — — GI absorption (pH-"
RPV,10,"rimary), 2A6, 3A4  3A4 3A4, 2B6  — — — 
ETR [12]  3A4, 2C9, 2C19  2C9, 2C19  3A4 — P-gP inducer  — 
RPV [13]  3A4 — — — — GI absorption (pH-
dependent)  
Nucleoside Reverse Transcriptase Inhibitors (N"
